period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-03-09,AVA,Avista Corporation,NG,Net generation,Mountain,Mountain,23202,megawatthours
2026-03-09,AVA,Avista Corporation,NG,Net generation,Pacific,Pacific,23406,megawatthours
2026-03-09,AVA,Avista Corporation,TI,Total interchange,Arizona,Arizona,-13467,megawatthours
2026-03-09,AVA,Avista Corporation,TI,Total interchange,Central,Central,-13699,megawatthours
2026-03-09,AVA,Avista Corporation,TI,Total interchange,Eastern,Eastern,-14040,megawatthours
2026-03-09,AVA,Avista Corporation,TI,Total interchange,Mountain,Mountain,-13486,megawatthours
2026-03-09,AVA,Avista Corporation,TI,Total interchange,Pacific,Pacific,-13467,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Arizona,Arizona,34138,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Central,Central,34231,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Eastern,Eastern,34464,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Mountain,Mountain,34150,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",NG,Net generation,Pacific,Pacific,34138,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",TI,Total interchange,Arizona,Arizona,34138,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",TI,Total interchange,Central,Central,34231,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",TI,Total interchange,Eastern,Eastern,34464,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",TI,Total interchange,Mountain,Mountain,34150,megawatthours
2026-03-09,AVRN,"Avangrid Renewables, LLC",TI,Total interchange,Pacific,Pacific,34138,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,93632,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,D,Demand,Central,Central,93719,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,93989,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,93684,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,93632,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,85932,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,86044,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,86162,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,85937,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,85932,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,54336,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,54581,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,54661,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,54440,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,54336,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-39296,megawatthours
2026-03-09,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-39138,megawatthours
